n_sensors,msg_p_s,p_extra,p_missing,p_wrong,avg_ips,avg_ops,avg_batch_duration,runId
10,100,0.0,0.0,0.0,99.44091217208329,105.58084315050446,22593.0,60cd9a7d-a978-4f0e-8289-229493f4ba49
10,100,0.0,0.0,0.0,99.61831482059458,109.98172873769525,22411.46153846154,aeec2b87-5c3b-432d-84e4-440ef182dce6
10,100,0.0,0.0,0.0,99.43621191126698,105.8428201111545,22486.75,01623055-1a3f-4e5b-8ceb-d4f75d65f759
10,100,0.0,0.0,0.0,99.64270512932141,110.37868168073955,22573.846153846152,eb24f0ac-a76d-4f43-b248-ec1f9a38db47
100,100,0.0,0.0,0.0,116.66517361708956,73.01282760497514,42624.333333333336,60cd9a7d-a978-4f0e-8289-229493f4ba49
100,100,0.0,0.0,0.0,114.28830909900555,70.97122482472334,39990.142857142855,aeec2b87-5c3b-432d-84e4-440ef182dce6
100,100,0.0,0.0,0.0,116.66610733955214,73.1003754746387,42622.666666666664,01623055-1a3f-4e5b-8ceb-d4f75d65f759
100,100,0.0,0.0,0.0,114.29177597502,70.93868323434567,40013.142857142855,eb24f0ac-a76d-4f43-b248-ec1f9a38db47
1000,100,0.0,0.0,0.0,102.22249796224038,56.7613048223757,49222.4,60cd9a7d-a978-4f0e-8289-229493f4ba49
1000,100,0.0,0.0,0.0,113.34452356512357,57.37552457336426,49278.4,aeec2b87-5c3b-432d-84e4-440ef182dce6
1000,100,0.0,0.0,0.0,114.78361533775706,65.26311745677538,55659.6,01623055-1a3f-4e5b-8ceb-d4f75d65f759
1000,100,0.0,0.0,0.0,113.3261381069196,64.95442779280839,55747.6,eb24f0ac-a76d-4f43-b248-ec1f9a38db47
1,100,0.0,0.0,0.0,130.86688251265898,97.66821341664503,30251.777777777777,60cd9a7d-a978-4f0e-8289-229493f4ba49
1,100,0.0,0.0,0.0,134.71096033059104,112.47278685081614,30728.625,eb24f0ac-a76d-4f43-b248-ec1f9a38db47
1,100,0.0,0.0,0.0,113.83737193639384,97.032923570532,30622.88888888889,01623055-1a3f-4e5b-8ceb-d4f75d65f759
1,100,0.0,0.0,0.0,124.43006837939453,111.89911307014063,30884.0,aeec2b87-5c3b-432d-84e4-440ef182dce6
